file,page,intersection,control_mode,start_time,end_time,phase_1_weekday,phase_1_sunday,phase_2_weekday,phase_2_sunday,phase_3_weekday,phase_3_sunday,phase_4_weekday,phase_4_sunday,phase_5_weekday,phase_5_sunday,phase_6_weekday,phase_6_sunday,phase_7_weekday,phase_7_sunday
Bengaluru-BPT-Adugodi-TPS-Signal-Timing-data-Aishwarya_Jn.pdf,1,"ADUGODIJUNCTION,ADUGODIPOLICESTATION",VAC,07:00,08:00,40.0,,20.0,,30.0,,10.0,,100.0,,,,,
Bengaluru-BPT-Adugodi-TPS-Signal-Timing-data-Aishwarya_Jn.pdf,1,"ADUGODIJUNCTION,ADUGODIPOLICESTATION",VAC,08:00,11:00,,,,,,,10.0,,,,,,,
Bengaluru-BPT-Adugodi-TPS-Signal-Timing-data-Aishwarya_Jn.pdf,1,"ADUGODIJUNCTION,ADUGODIPOLICESTATION",VAC,16:30,21:00,,,,,,,10.0,,,,,,,
Bengaluru-BPT-Adugodi-TPS-Signal-Timing-data-Aishwarya_Jn.pdf,1,"ADUGODIJUNCTION,ADUGODIPOLICESTATION",VAC,21:00,23:00,40.0,,20.0,,30.0,,8.0,,98.0,,,,,
Bengaluru-BPT-Adugodi-TPS-Signal-Timing-data-Aishwarya_Jn.pdf,1,"ADUGODIJUNCTION,ADUGODIPOLICESTATION",VAC,07:00,08:00,,,,,,,,,,,,,,
Bengaluru-BPT-Adugodi-TPS-Signal-Timing-data-Aishwarya_Jn.pdf,1,"ADUGODIJUNCTION,ADUGODIPOLICESTATION",VAC,08:00,11:00,,,,,,,,,,,,,,
Bengaluru-BPT-Adugodi-TPS-Signal-Timing-data-Aishwarya_Jn.pdf,1,"ADUGODIJUNCTION,ADUGODIPOLICESTATION",VAC,16:30,21:00,,,,,,,,,,,,,,
Bengaluru-BPT-Adugodi-TPS-Signal-Timing-data-Aishwarya_Jn.pdf,1,"ADUGODIJUNCTION,ADUGODIPOLICESTATION",VAC,21:00,23:00,,,,,,,,,,,,,,
Bengaluru-BPT-Adugodi-TPS-Signal-Timing-data-BDA_JN_KORAMANGALA_WATER_TANK.pdf,1,"BDAJUNCTION,ADUGODITRAFFICPOLICESTATION",FIXED,07:00,08:00,20.0,,35.0,,20.0,,,,,,,,,
Bengaluru-BPT-Adugodi-TPS-Signal-Timing-data-BDA_JN_KORAMANGALA_WATER_TANK.pdf,1,"BDAJUNCTION,ADUGODITRAFFICPOLICESTATION",FIXED,08:00,11:00,20.0,,60.0,,35.0,,,,,,,,,
